name,duration,release_date,album_name,explicit,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
🪐,53.184,2021-10-15,Music Of The Spheres,False,62,0.887,0.326,0.322,0.841,0.116,-20.192,0.0337,89.657,4,0.0651
Higher Power,206.681,2021-10-15,Music Of The Spheres,False,71,0.00643,0.507,0.832,1.6e-05,0.229,-5.931,0.0425,177.894,4,0.485
Humankind,266.704,2021-10-15,Music Of The Spheres,False,68,0.000172,0.575,0.838,0.000103,0.458,-6.498,0.0454,135.006,4,0.215
✨,53.033,2021-10-15,Music Of The Spheres,False,59,0.805,0.0859,0.289,0.99,0.141,-17.24,0.0359,166.784,4,0.038
Let Somebody Go,241.595,2021-10-15,Music Of The Spheres,False,76,0.193,0.592,0.342,0.00245,0.11,-8.93,0.0339,130.953,4,0.155
❤️,188.966,2021-10-15,Music Of The Spheres,False,65,0.97,0.348,0.0491,0.000186,0.0918,-15.431,0.0404,136.68,1,0.232
People of The Pride,217.266,2021-10-15,Music Of The Spheres,True,66,0.00581,0.432,0.613,0.0151,0.312,-6.785,0.0349,136.362,4,0.0911
Biutyful,192.394,2021-10-15,Music Of The Spheres,False,66,0.0168,0.614,0.68,0.00056,0.118,-7.84,0.0425,153.937,4,0.347
🌎,21.388,2021-10-15,Music Of The Spheres,False,19,0.969,0.115,0.907,0.981,0.98,-20.358,0.223,189.885,3,0.0185
My Universe,226.198,2021-10-15,Music Of The Spheres,False,84,0.0114,0.573,0.711,0.0,0.328,-6.268,0.0406,105.006,4,0.47
♾,226.14,2021-10-15,Music Of The Spheres,False,62,0.00941,0.576,0.896,0.955,0.153,-8.994,0.0412,135.01,4,0.412
Coloratura,617.057,2021-10-15,Music Of The Spheres,False,61,0.629,0.285,0.265,0.179,0.066,-10.836,0.0288,134.055,4,0.0699
Sunrise,151.093,2019-11-22,Everyday Life,False,27,0.939,0.146,0.216,0.54,0.0773,-12.302,0.0399,78.045,4,0.0341
Church,230.013,2019-11-22,Everyday Life,False,17,0.00865,0.449,0.736,0.145,0.147,-6.98,0.0368,123.973,4,0.133
Trouble In Town,278.906,2019-11-22,Everyday Life,True,15,0.427,0.595,0.315,0.648,0.111,-11.456,0.0296,96.018,4,0.336
BrokEn,150.2,2019-11-22,Everyday Life,False,15,0.923,0.55,0.271,0.0,0.147,-11.836,0.0495,130.151,4,0.521
Daddy,298.32,2019-11-22,Everyday Life,False,28,0.931,0.633,0.18,0.801,0.513,-19.54,0.034,116.981,4,0.2
WOTW / POTP,76.933,2019-11-22,Everyday Life,False,14,0.935,0.692,0.294,0.929,0.116,-15.483,0.248,133.686,4,0.802
Arabesque,340.28,2019-11-22,Everyday Life,True,26,0.000114,0.401,0.834,0.849,0.373,-7.727,0.055,172.009,4,0.163
When I Need A Friend,155.0,2019-11-22,Everyday Life,False,14,0.921,0.141,0.28,0.368,0.135,-18.225,0.0618,64.501,4,0.434
Guns,115.08,2019-11-22,Everyday Life,True,12,0.775,0.475,0.565,0.188,0.138,-8.336,0.0326,85.25,3,0.708
Orphans,197.533,2019-11-22,Everyday Life,False,32,0.0258,0.503,0.808,0.00149,0.557,-5.051,0.0451,107.973,4,0.282
Èkó,157.866,2019-11-22,Everyday Life,False,14,0.722,0.341,0.365,0.00194,0.184,-13.871,0.0322,182.995,3,0.0486
Cry Cry Cry,167.28,2019-11-22,Everyday Life,False,22,0.89,0.491,0.262,0.288,0.207,-10.458,0.0572,204.52,3,0.338
Old Friends,146.946,2019-11-22,Everyday Life,False,27,0.943,0.476,0.18,0.235,0.138,-17.499,0.0346,134.025,5,0.236
بنی آدم,194.666,2019-11-22,Everyday Life,False,14,0.758,0.393,0.301,0.764,0.161,-20.428,0.0497,140.438,3,0.0384
Champion Of The World,257.546,2019-11-22,Everyday Life,False,13,0.00276,0.503,0.594,0.0102,0.109,-7.095,0.0263,108.9,4,0.168
Everyday Life,258.533,2019-11-22,Everyday Life,False,29,0.775,0.512,0.452,0.0818,0.065,-8.991,0.0292,124.103,4,0.235
Flags,216.493,2019-11-22,Everyday Life,False,14,0.00107,0.55,0.796,1.18e-05,0.123,-7.262,0.0378,89.876,4,0.51
Trouble in Town,278.906,2019-11-22,Everyday Life,False,0,0.432,0.603,0.308,0.732,0.111,-11.442,0.0291,96.032,4,0.342
A Head Full of Dreams - Live in Buenos Aires,299.12,2018-12-07,Live in Buenos Aires,False,52,0.0132,0.32,0.923,0.00654,0.705,-6.33,0.136,122.756,4,0.255
Yellow - Live in Buenos Aires,350.466,2018-12-07,Live in Buenos Aires,False,55,0.000343,0.322,0.873,0.000698,0.362,-5.818,0.0639,91.033,4,0.144
Every Teardrop Is a Waterfall - Live in Buenos Aires,244.306,2018-12-07,Live in Buenos Aires,False,53,0.00406,0.397,0.943,0.0,0.981,-5.619,0.0663,118.005,4,0.325
The Scientist - Live in Buenos Aires,388.6,2018-12-07,Live in Buenos Aires,False,56,0.105,0.294,0.652,0.00196,0.378,-7.314,0.0336,75.335,4,0.167
God Put a Smile upon Your Face - Live in Buenos Aires,274.053,2018-12-07,Live in Buenos Aires,True,50,0.000615,0.345,0.967,0.000117,0.89,-4.687,0.0837,137.917,4,0.366
Paradise - Live in Buenos Aires,419.373,2018-12-07,Live in Buenos Aires,False,53,0.00193,0.189,0.872,0.0187,0.898,-6.616,0.051,138.661,4,0.19
Always in My Head - Live in Buenos Aires,221.2,2018-12-07,Live in Buenos Aires,False,49,0.00157,0.46,0.771,0.827,0.975,-7.872,0.0314,97.555,3,0.147
Magic - Live in Buenos Aires,285.84,2018-12-07,Live in Buenos Aires,False,50,0.0162,0.474,0.836,0.381,0.748,-6.547,0.0618,95.544,4,0.479
Everglow - Live in Buenos Aires,295.373,2018-12-07,Live in Buenos Aires,False,51,0.711,0.292,0.434,0.000205,0.383,-8.881,0.033,154.04,4,0.234
Clocks - Live in Buenos Aires,260.2,2018-12-07,Live in Buenos Aires,False,52,0.065,0.448,0.907,0.0125,0.391,-5.253,0.0531,130.898,4,0.23
Midnight - Live in Buenos Aires,105.68,2018-12-07,Live in Buenos Aires,False,48,0.0428,0.359,0.768,0.46,0.319,-9.32,0.0431,126.99,4,0.119
Charlie Brown - Live in Buenos Aires,284.426,2018-12-07,Live in Buenos Aires,False,51,0.00181,0.312,0.87,0.00132,0.345,-6.634,0.0503,138.03,4,0.28
Hymn for the Weekend - Live in Buenos Aires,302.946,2018-12-07,Live in Buenos Aires,False,53,0.0399,0.17,0.708,0.00945,0.354,-6.997,0.0417,89.641,4,0.251
Fix You - Live in Buenos Aires,327.466,2018-12-07,Live in Buenos Aires,False,64,0.00534,0.256,0.625,0.00386,0.179,-7.53,0.0348,140.351,4,0.201
Viva La Vida - Live in Buenos Aires,251.066,2018-12-07,Live in Buenos Aires,False,65,0.00537,0.428,0.948,1.29e-06,0.371,-4.655,0.0934,138.015,4,0.219
Adventure of a Lifetime - Live in Buenos Aires,306.546,2018-12-07,Live in Buenos Aires,False,52,0.00297,0.476,0.952,0.013,0.777,-5.472,0.0884,111.98,4,0.275
De Música Ligera - Live in Buenos Aires,369.306,2018-12-07,Live in Buenos Aires,False,50,0.00262,0.196,0.937,1.75e-06,0.397,-5.813,0.138,124.401,4,0.0819
Colour Spectrum - Live in Buenos Aires,117.76,2018-12-07,Live in Buenos Aires,False,45,0.763,0.253,0.454,0.892,0.378,-11.742,0.0362,85.508,4,0.133
In My Place - Live in Buenos Aires,277.8,2018-12-07,Live in Buenos Aires,False,48,0.171,0.121,0.699,0.00104,0.965,-6.956,0.043,78.393,4,0.326
Amor Argentina - Live in Buenos Aires,316.2,2018-12-07,Live in Buenos Aires,False,44,0.252,0.233,0.675,0.0181,0.854,-8.374,0.0501,134.173,4,0.317
Something Just like This - Live in Buenos Aires,244.24,2018-12-07,Live in Buenos Aires,False,54,0.00072,0.426,0.859,0.000775,0.456,-5.866,0.0448,102.913,4,0.17
A Sky Full of Stars - Live in Buenos Aires,276.36,2018-12-07,Live in Buenos Aires,False,53,0.00255,0.415,0.808,0.000606,0.982,-6.596,0.0367,124.893,4,0.2
Up&Up - Live in Buenos Aires,525.706,2018-12-07,Live in Buenos Aires,False,48,0.0115,0.108,0.82,2.41e-05,0.659,-5.61,0.075,67.092,3,0.15
End Credits - Live in Buenos Aires,123.24,2018-12-07,Live in Buenos Aires,False,43,0.000119,0.156,0.217,0.929,0.102,-18.429,0.0451,74.901,4,0.0936
A Head Full of Dreams,294.44,2018-12-07,Love in Tokyo,False,14,0.0948,0.307,0.92,0.00308,0.4,-6.967,0.166,122.836,4,0.152
Yellow - Live,294.2,2018-12-07,Love in Tokyo,False,16,8.92e-05,0.299,0.828,0.00295,0.931,-5.659,0.0461,90.993,4,0.23
The Scientist - Live,353.333,2018-12-07,Love in Tokyo,False,14,0.0479,0.389,0.634,0.0116,0.734,-8.391,0.0339,75.219,4,0.23
Paradise - Live,411.853,2018-12-07,Love in Tokyo,False,12,0.00537,0.183,0.883,0.000957,0.756,-6.382,0.0497,138.909,4,0.107
Everglow - Live,265.0,2018-12-07,Love in Tokyo,False,11,0.738,0.409,0.376,4.88e-06,0.84,-10.806,0.0325,78.552,4,0.287
Midnight / Charlie Brown - Live,447.933,2018-12-07,Love in Tokyo,False,10,0.0136,0.181,0.75,0.0268,0.173,-9.07,0.054,134.272,4,0.0709
Hymn for the Weekend - Live,222.146,2018-12-07,Love in Tokyo,False,12,0.00451,0.416,0.769,0.0192,0.91,-6.703,0.0409,90.034,4,0.413
Fix You - Live,352.2,2018-12-07,Love in Tokyo,False,14,0.0133,0.261,0.54,0.392,0.461,-9.173,0.0344,140.11,4,0.0817
Viva La Vida - Live,252.346,2018-12-07,Love in Tokyo,False,16,0.00199,0.451,0.905,0.0411,0.196,-7.154,0.0664,137.953,4,0.14
Adventure of a Lifetime - Live,291.466,2018-12-07,Love in Tokyo,False,13,0.000602,0.506,0.935,0.000173,0.938,-6.455,0.0627,112.031,4,0.341
Us Against the World - Live,381.613,2018-12-07,Love in Tokyo,False,10,0.4,0.233,0.52,0.0116,0.955,-9.919,0.0324,111.451,3,0.0866
Something Just like That - Live,244.693,2018-12-07,Love in Tokyo,False,12,0.000804,0.427,0.797,0.00594,0.424,-7.685,0.0442,102.943,4,0.161
